Date,Ticker,Strategy
2026-06-30,ADANIPORTS.NS,SCALP
2026-06-30,GRSE.NS,SWING
2026-06-30,ITC.NS,SCALP
2026-06-30,NESTLEIND.NS,SCALP
2026-06-30,CHALET.NS,SCALP
2026-06-30,NMDC.NS,SCALP
2026-06-30,ICICIBANK.NS,MOMENTUM
2026-06-30,TECHM.NS,MOMENTUM
2026-06-30,PERSISTENT.NS,SCALP
2026-06-30,LEMONTREE.NS,SWING
2026-07-01,HDFCBANK.NS,SWING
2026-07-01,BAJAJ-AUTO.NS,MOMENTUM
2026-07-01,MRF.NS,SWING
2026-07-01,BHEL.NS,SWING
2026-07-01,PRESTIGE.NS,SCALP
2026-07-01,BRIGADE.NS,SCALP
2026-07-01,HINDUNILVR.NS,SCALP
2026-07-01,BRITANNIA.NS,SCALP
2026-07-01,TATACONSUM.NS,MOMENTUM
2026-07-01,JUBLFOOD.NS,SCALP
2026-07-01,NAZARA.NS,SWING
2026-07-01,ABCAPITAL.NS,SCALP
2026-07-01,TCS.NS,SWING
2026-07-01,WIPRO.NS,SWING
2026-07-01,NATCOPHARM.NS,SWING
2026-07-01,TORNTPHARM.NS,SWING
2026-07-01,BEML.NS,SWING
2026-07-01,TATASTEEL.NS,MOMENTUM
2026-07-01,RATNAMANI.NS,SWING
2026-07-01,COFORGE.NS,SWING
2026-07-01,OFSS.NS,SWING
2026-07-01,DIVISLAB.NS,SWING
2026-07-01,LUPIN.NS,SWING
2026-07-01,ALKEM.NS,SWING
2026-07-01,GRANULES.NS,SWING
2026-07-01,IGL.NS,SWING
2026-07-01,CESC.NS,SWING
2026-07-01,ADANIENT.NS,SWING
2026-07-01,GRINDWELL.NS,SWING
2026-07-01,GODREJCP.NS,SWING
2026-07-01,PVRINOX.NS,SWING
2026-07-01,AMBUJACEM.NS,SCALP
2026-07-01,HDFCLIFE.NS,SCALP
2026-07-01,SUNPHARMA.NS,SWING
2026-07-01,BIOCON.NS,SCALP
2026-07-01,BHARATFORG.NS,SWING
2026-07-01,BALKRISIND.NS,SWING
2026-07-01,HAVELLS.NS,SWING
2026-07-01,ASIANPAINT.NS,SWING
2026-07-01,TRENT.NS,SWING
2026-07-01,PNB.NS,SWING
2026-07-01,BANKBARODA.NS,SWING
2026-07-01,HFCL.NS,SWING
2026-07-01,ADANIPORTS.NS,SWING
2026-07-01,JUBLFOOD.NS,SWING
2026-07-01,PAYTM.NS,SWING
2026-07-01,INDHOTEL.NS,SWING
2026-07-01,GRASIM.NS,SWING
2026-07-01,RECLTD.NS,SCALP
2026-07-01,3MINDIA.NS,SWING
2026-07-01,BAJAJFINSV.NS,SWING
2026-07-01,ICICIGI.NS,SWING
2026-07-01,MANAPPURAM.NS,SWING
2026-07-01,EQUITASBNK.NS,SWING
2026-07-01,PERSISTENT.NS,MOMENTUM
2026-07-01,BIOCON.NS,SWING
2026-07-01,CEATLTD.NS,SWING
2026-07-01,NMDC.NS,SWING
2026-07-01,ULTRACEMCO.NS,MOMENTUM
2026-07-01,AMBUJACEM.NS,SWING
2026-07-01,INOXWIND.NS,SCALP
2026-07-01,ICICIPRULI.NS,SWING
2026-07-01,CHOLAFIN.NS,SWING
2026-07-01,ZYDUSLIFE.NS,SWING
2026-07-01,KRSNAA.NS,MOMENTUM
2026-07-01,TIINDIA.NS,SWING
2026-07-01,RELIANCE.NS,SWING
2026-07-01,COCHINSHIP.NS,MOMENTUM
2026-07-01,RVNL.NS,SWING
2026-07-01,CONCOR.NS,SWING
2026-07-01,DABUR.NS,SWING
2026-07-01,BERGEPAINT.NS,SCALP
2026-07-01,FEDERALBNK.NS,SWING
2026-07-01,BANDHANBNK.NS,SCALP
2026-07-01,BANDHANBNK.NS,MOMENTUM
2026-07-01,ESCORTS.NS,SWING
2026-07-01,ADANIGREEN.NS,SWING
2026-07-01,HAVELLS.NS,MOMENTUM
2026-07-01,BEL.NS,SWING
2026-07-01,HAL.NS,SWING
2026-07-01,LICI.NS,SWING
2026-07-01,UJJIVANSFB.NS,SCALP
2026-07-01,CIPLA.NS,SWING
2026-07-01,SYNGENE.NS,SWING
2026-07-01,EICHERMOT.NS,SWING
2026-07-01,ABB.NS,SWING
2026-07-01,WHIRLPOOL.NS,SWING
2026-07-01,GRSE.NS,SWING
2026-07-01,TCI.NS,SWING
2026-07-01,GODREJPROP.NS,SWING
2026-07-01,SOBHA.NS,SCALP
2026-07-01,HINDUNILVR.NS,MOMENTUM
2026-07-01,ITC.NS,SWING
2026-07-01,WHIRLPOOL.NS,MOMENTUM
2026-07-01,IRCTC.NS,MOMENTUM
2026-07-01,PVRINOX.NS,SCALP
2026-07-01,AUBANK.NS,SWING
2026-07-01,CRAFTSMAN.NS,SWING
2026-07-01,HINDPETRO.NS,SCALP
2026-07-01,PRESTIGE.NS,SWING
2026-07-01,LEMONTREE.NS,SWING
2026-07-01,BANKBARODA.NS,SCALP
2026-07-01,TECHM.NS,SWING
2026-07-01,PFIZER.NS,SWING
2026-07-01,SUPRAJIT.NS,SWING
2026-07-01,CESC.NS,MOMENTUM
2026-07-01,GRASIM.NS,SCALP
2026-07-01,INDUSINDBK.NS,SWING
2026-07-01,HINDPETRO.NS,SWING
2026-07-01,COCHINSHIP.NS,SWING
2026-07-01,PFC.NS,SWING
2026-07-01,ICICIPRULI.NS,MOMENTUM
2026-07-01,TITAN.NS,SWING
2026-07-01,INOXWIND.NS,MOMENTUM
2026-07-01,VIJAYA.NS,SWING
2026-07-01,PNB.NS,MOMENTUM
2026-07-01,ICICIGI.NS,MOMENTUM
2026-07-01,GEOJITFSL.NS,MOMENTUM
2026-07-01,NAUKRI.NS,SWING
2026-07-01,GLAXO.NS,SWING
2026-07-01,BRIGADE.NS,MOMENTUM
2026-07-01,NESCO.NS,SWING
2026-07-01,RECLTD.NS,SWING
2026-07-01,ULTRACEMCO.NS,SWING
2026-07-01,APLAPOLLO.NS,MOMENTUM
2026-07-01,BAJFINANCE.NS,SWING
2026-07-01,CANFINHOME.NS,SWING
2026-07-01,ANGELONE.NS,SCALP
2026-07-01,PETRONET.NS,SWING
2026-07-01,INDUSTOWER.NS,SWING
2026-07-01,SHREECEM.NS,SWING
2026-07-01,ESAFSFB.NS,SCALP
2026-07-01,ANGELONE.NS,SWING
2026-07-01,PERSISTENT.NS,SWING
2026-07-01,PIDILITIND.NS,SCALP
